id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
550602,"Mas Cal Carreter, take a break",2595151,Pablo,,Maià de Montcal,42.18914,2.75799,Entire home/apt,300,4,21,8/28/21,0.19,1,0,5,HUTG-007254
553009,Charming Bungalow overlooking Tossa,2717895,Robby,,Tossa de Mar,41.72244,2.93543,Entire home/apt,150,2,38,8/29/21,0.69,1,246,6,HUTG-024194
558914,"APART. 5 STARS. CON PISCINA, EN PLAYA FANALS",2735347,Jose Antonio,,Lloret de Mar,41.69781,2.83349,Entire home/apt,100,14,0,,,1,365,0,HUTG-003338
569528,El Mirador de Sant Feliu Terrace,2803313,Jordi,,Sant Feliu de Guíxols,41.78469,3.04003,Entire home/apt,42,2,85,12/31/20,0.82,3,49,1,HUTG-045001
575718,Nice apartment at 50m near beach,2397413,Marc,,L'Escala,42.11351,3.14096,Entire home/apt,59,3,129,9/11/21,1.13,1,117,8,HUTG-012022
582785,"Villalloret -vista mar, piscina privada,rural, Bbq",2870007,Isabel,,Lloret de Mar,41.71273,2.85695,Entire home/apt,229,7,43,11/6/21,0.71,1,0,19,HUTG-019030
592637,"Figueres-Dali Double room, bathroom",2910978,Isabel,,Figueres,42.26675,2.96104,Private room,39,1,378,12/20/21,5.49,2,75,26,Exempt
592675,Figueres Dali Costa Brava Room-Bath,2910978,Isabel,,Figueres,42.26651,2.96081,Private room,40,1,453,11/1/21,3.95,2,80,6,Exempt
597347,"Cozy apartment with views, terrace & parking",2953511,Xavier David,,Lloret de Mar,41.70483,2.87003,Entire home/apt,90,4,34,8/15/21,0.33,1,106,3,HUTG-017721
607568,"Sea views villa Costa Brava, Spain",1987558,Maria,,Calonge,41.82776,3.07947,Entire home/apt,900,7,3,8/29/20,0.07,1,365,0,HUTG027946
615412,CASA-APARTAMENTO HORTA  I I,2005696,Nieves,,Cadaqués ,42.28967,3.27995,Entire home/apt,76,3,41,9/22/21,0.46,6,361,5,HUTB-001158
616703,Nice cozy studio in Tossa de Mar,1298586,Kristjan Y Ana,,Tossa de Mar,41.72696,2.92862,Entire home/apt,38,2,32,10/4/21,0.41,107,0,7,HUTG-011066
621271,"Can Cirera, rural house in Girona",3079320,Jaume,,Serinyà,42.1715,2.74766,Entire home/apt,289,2,9,10/31/20,0.09,1,357,0,PG-000234
630599,Appartement Roses Piscine Vue Mer,3134961,Adrienne,,Roses,42.25036,3.19165,Entire home/apt,70,4,90,11/2/21,1.12,3,119,19,HUTG-012215
643415,Apartment with garden near lake,3303625,Joan,,Banyoles,42.12426,2.76006,Entire home/apt,119,4,20,11/6/21,0.19,1,354,3,HUTG-003551
644988,RURAL HOUSE IN PLA DE L'ESTANY.,3228921,Carlus,,Crespià,42.18756,2.79723,Entire home/apt,177,2,11,9/12/21,0.2,1,353,3,PG-000411
652289,Tranquilidad en la Costa Brava,1222194,Rosario,,Torrent,41.9513,3.12588,Entire home/apt,125,15,15,7/30/21,0.23,1,229,2,HUTG-049371
653204,House for 6p. with community swimming pool,3284177,Alan,,Torroella de Montgrí,42.05334,3.17027,Entire home/apt,125,7,4,8/22/20,0.04,1,341,0,HUTG-011758
662554,APARTAMENTO A 17 METROS DE LA PLAYA,3346361,Juan Antonio,,Calonge,41.8477,3.10845,Entire home/apt,52,3,4,6/24/19,0.04,1,332,0,HUTG-009574
664499,Palamós Dúplex centro. Renovado!,3375051,Montse,,Palamós,41.84793,3.12901,Entire home/apt,99,3,52,10/17/21,0.46,1,254,5,HUTG-022332
669086,CAN CARANTA - Rustic Catalina House,3387407,Enric & Gemma,,Pals,41.97039,3.14931,Entire home/apt,363,2,55,11/21/21,0.49,12,359,12,HUTG-001745
669661,CAN FELIP - Apartment 2 (18th c.),3387407,Enric & Gemma,,Palafrugell,41.91802,3.1642,Entire home/apt,148,2,36,11/19/21,0.32,12,351,10,HUTG-006523
671241,CAN TARONGETA - Sunny Penthouse 2-1,3387407,Enric & Gemma,,Palafrugell,41.91724,3.16691,Entire home/apt,141,2,32,11/22/21,0.29,12,362,4,HUTG-010746
671251,CAN CARANTA - Rustic Aurora House,3387407,Enric & Gemma,,Pals,41.97043,3.14927,Entire home/apt,397,2,54,11/7/21,0.57,12,358,5,HUTG-001746
672069,CAN TARONGETA - Sunny Apartment B-1,3387407,Enric & Gemma,,Palafrugell,41.91727,3.16684,Entire home/apt,110,2,11,6/24/21,0.11,12,363,2,HUTG-010609
672303,"Can Torras Farmhouse Cottage, sustainable tourism",153805,Karen,,Quart,41.95456,2.89755,Private room,87,2,73,8/30/21,0.69,4,273,9,PG-000952
679690,Apartamento en Peralada,3459542,Josefina,,Peralada,42.30769,3.00821,Entire home/apt,124,2,27,7/30/21,0.41,1,335,2,PG-000109
684386,–û—Ç–¥—ã—Ö –≤ —Ç–µ—á–µ–Ω–∏–µ –≤—Å–µ–≥–æ –≥–æ–¥–∞ .,3489532,Alfredo,,Tossa de Mar,41.71612,2.93151,Entire home/apt,93,5,34,8/28/21,0.33,1,348,3,
695685,House in Costa Brava with salt pool,3561447,Margarita,,Calonge,41.86528,3.07907,Private room,60,1,58,8/28/21,0.64,1,363,10,Exempt
704991,HOUSE WITH POOL AND BARBECUE,3622155,Carmina,,Cornella del Terri,42.09975,2.78772,Entire home/apt,257,2,0,,,1,244,0,PG-000485
706549,BEAUTIFUL APARTMENT with POOL TOSSA,1298586,Kristjan Y Ana,,Tossa de Mar,41.72387,2.92717,Entire home/apt,146,2,6,8/28/21,0.08,107,11,2,HUTG-011062
714603,Rural house El Pati de l¬¥Albera - Wine Experience,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Entire home/apt,269,1,35,11/1/21,0.31,6,359,8,PG000794
721891,CENTURY FARMHOUSE APARTMENT XVI,3727284,Vilà,,La Cellera de Ter,41.97638,2.61334,Entire home/apt,85,2,173,10/18/21,1.58,3,230,17,HUTG-017232
723935,Best terrace of Costa Brava,2966284,David,,Begur,41.96131,3.23035,Entire home/apt,229,5,20,9/18/21,0.45,1,248,5,HUTG-033392
736891,Apartment-loft in Besalú,3846991,Violeta,,Besalú,42.20006,2.69878,Entire home/apt,81,3,114,8/26/21,1.02,3,238,5,HUTG-000422
739436,Apartamento piscina | wifi | Garaje | Roses,3867330,Antoni,,Roses,42.26629,3.14653,Entire home/apt,150,2,8,1/3/21,0.09,2,296,1,HUTG-003690
745384,Dream Architect in Costa Brava,52356704,Valeria,,Begur,41.95645,3.2108,Entire home/apt,470,7,17,10/30/21,0.19,1,293,6,HUTG-001233
745864,Cozy house at Girona's Countryside,3911602,Ruth,,Cassà de la Selva,41.88238,2.92429,Entire home/apt,150,10,40,8/29/21,0.39,1,152,2,EN TR√ÅMITE
751638,Room Limon - Casa Pati de l¬¥Albera,3680160,Roberto,,Sant Climent Sescebes,42.36958,2.9803,Private room,45,2,6,8/29/18,0.06,6,358,0,PG000794
